,Municipality,Population
0,Aberdeen,17040
1,Airway Heights,11040
2,Albion,545
3,Algona,3300
4,Almira,320
5,Anacortes,17880
6,Arlington,21260
7,Asotin,1220
8,Auburn,88750
9,Bainbridge Island,25060
10,Battle Ground,21780
11,Beaux Arts Village,315
12,Bellevue,153900
13,Bellingham,93910
14,Benton City,3710
15,Bingen,780
16,Black Diamond,6145
17,Blaine,6130
18,Bonney Lake,22990
19,Bothell,48940
20,Bremerton,45220
21,Brewster,1990
22,Bridgeport,2135
23,Brier,6590
24,Buckley,5315
25,Bucoda,610
26,Burien,52490
27,Burlington,9800
28,Camas,27250
29,Carbonado,740
30,Carnation,2160
31,Cashmere,3280
32,Castle Rock,2445
33,Cathlamet,560
34,Centralia,18360
35,Chehalis,7365
36,Chelan,4390
37,Cheney,12920
38,Chewelah,2535
39,Clarkston,7215
40,Cle Elum,2250
41,Clyde Hill,3110
42,Colfax,2785
43,College Place,9855
44,Colton,405
45,Colville,4900
46,Conconully,190
47,Concrete,810
48,Connell,4840
49,Cosmopolis,1665
50,Coulee City,560
51,Coulee Dam,1210
52,Coupeville,1965
53,Covington,21200
54,Creston,215
55,Cusick,155
56,Darrington,1490
57,Davenport,1710
58,Dayton,2445
59,Deer Park,4670
60,Des Moines,33160
61,DuPont,10180
62,Duvall,8320
63,East Wenatchee,14180
64,Eatonville,2890
65,Edgewood,13520
66,Edmonds,42980
67,Electric City,960
68,Ellensburg,20940
69,Elma,3460
70,Elmer City,245
71,Endicott,310
72,Entiat,1355
73,Enumclaw,12910
74,Ephrata,8620
75,Everett,113300
76,Everson,3060
77,Fairfield,600
78,Farmington,140
79,Federal Way,101800
80,Ferndale,15970
81,Fife,11130
82,Fircrest,7215
83,Forks,3360
84,Friday Harbor,2680
85,Garfield,565
86,George,820
87,Gig Harbor,12540
88,Gold Bar,2290
89,Goldendale,3475
90,Grand Coulee,965
91,Grandview,11020
92,Granger,3740
93,Granite Falls,4705
94,Hamilton,295
95,Harrah,580
96,Harrington,430
97,Hartline,180
98,Hatton,80
99,Hoquiam,8785
100,Hunts Point,460
101,Ilwaco,1100
102,Index,155
103,lone,425
104,Issaquah,40950
105,Kahlotus,145
106,Kalama,3065
107,Kelso,12720
108,Kenmore,24090
109,Kennewick,85320
110,Kent,137900
111,Kettle Falls,1650
112,Kirkland,93570
113,Kittitas,1440
114,Krupp,50
115,La Center,3835
116,La Conner,980
117,Lacey,58180
118,LaCrosse,300
119,Lake Forest Park,13620
120,Lake Stevens,40700
121,Lakewood,63800
122,Lamont,80
123,Langley,1155
124,Latah,185
125,Leavenworth,2515
126,Liberty Lake,12870
127,Lind,535
128,Long Beach,1715
129,Longview,37780
130,Lyman,425
131,Lynden,16150
132,Lynnwood,38740
133,Mabton,1975
134,Malden,135
135,Mansfield,330
136,Maple Valley,28920
137,Marcus,215
138,Marysville,72380
139,Mattawa,3535
140,McCleary,2040
141,Medical Lake,4840
142,Medina,2915
143,Mercer Island,25780
144,Mesa,390
145,Metaline,160
146,Metaline Falls,275
147,Mill Creek,21510
148,Millwood,1915
149,Milton,8695
150,Monroe,19700
151,Montesano,4150
152,Morton,1070
153,Moses Lake,26040
154,Mossyrock,780
155,Mount Vernon,35500
156,Mountlake Terrace,22070
157,Moxee,4665
158,Mukilteo,21590
159,Naches,1125
160,Napavine,1955
161,Nespelem,180
162,Newcastle,13560
163,Newport,2130
164,Nooksack,1560
165,Normandy Park,6790
166,North Bend,7915
167,North Bonneville,975
168,Northport,295
169,Oak Harbor,24760
170,Oakesdale,400
171,Oakville,720
172,Ocean Shores,7160
173,Odessa,890
174,Okanogan,2415
175,Olympia,56370
176,Omak,4950
177,Oroville,1805
178,Orting,9055
179,Othello,8920
180,Pacific,7270
181,Palouse,1035
182,Pasco,80180
183,Pateros,590
184,Pe Ell,650
185,Pomeroy,1395
186,Port Angeles,20200
187,Port Orchard,16400
188,Port Townsend,10290
189,Poulsbo,12180
190,Prescott,370
191,Prosser,6195
192,Pullman,32790
193,Puyallup,43260
194,Quincy,7830
195,Rainier,2510
196,Raymond,3090
197,Reardan,650
198,Redmond,75270
199,Renton,107500
200,Republic,1000
201,Richland,62220
202,Ridgefield,13640
203,Ritzville,1780
204,Riverside,325
205,Rock Island,1425
206,Rockford,545
207,Rosalia,590
208,Roslyn,960
209,Roy,815
210,Royal City,1910
211,Ruston,1060
212,Sammamish,68150
213,SeaTac,31910
214,Seattle,762500
215,Sedro-Woolley,12590
216,Selah,8365
217,Sequim,8215
218,Shelton,10430
219,Shoreline,60320
220,Skykomish,165
221,Snohomish,10200
222,Snoqualmie,14490
223,Soap Lake,1740
224,South Bend,1735
225,South Cle Elum,565
226,South Prairie,620
227,Spangle,280
228,Spokane,230900
229,Spokane Valley,107100
230,Sprague,500
231,Springdale,283
232,St. lohn,600
233,Stanwood,8405
234,Starbuck,120
235,Steilacoom,6790
236,Stevenson,1550
237,Sultan,6260
238,Sumas,1740
239,Sumner,10800
240,Sunnyside,16500
241,Tacoma,220800
242,Tekoa,810
243,Tenino,2030
244,Tieton,1505
245,Toledo,685
246,Tonasket,1085
247,Toppenish,8870
248,Tukwila,22620
249,Tumwater,26360
250,Twisp,1035
251,Union Gap,6640
252,Uniontown,390
253,University Place,35420
254,Vader,655
255,Vancouver,197600
256,Waitsburg,1180
257,Walla Walla,34020
258,Wapato,4615
259,Warden,2525
260,Washougal,17390
261,Washtucna,210
262,Waterville,1140
263,Waverly,120
264,Wenatchee,35650
265,West Richland,17410
266,Westport,2255
267,White Salmon,2490
268,Wilbur,895
269,Wilkeson,495
270,Wilson Creek,205
271,Winlock,1695
272,Winthrop,555
273,Woodinville,13450
274,Woodland,6575
275,Woodway,1330
276,Yacolt,1670
277,Yakima,98200
278,Yarrow Point,1125
279,Yelm,10680
280,Zillah,3195
